Id,Time[ns],0:SPI: MISO data
471,27657491450.00,22
472,27657499450.00,254
473,27657507450.00,31
474,27657515450.00,255
475,27657523450.00,224
476,27657531450.00,0
477,27657539450.00,20
478,27657547450.00,0
479,27657555450.00,185
480,27657563450.00,0
481,27657571450.00,40
482,27657579450.00,0
483,27657587450.00,123
484,27657595450.00,255
485,27657603450.00,96
486,27657611450.00,254
487,27657619450.00,142
488,27657627450.00,255
489,27657635450.00,10
490,27657643450.00,128
491,27657651450.00,250
492,27657659450.00,1
493,27657667450.00,247
494,27657675450.00,126
495,27657683450.00,168
496,27657691450.00,0
497,27657699450.00,57
498,27657707450.00,1
499,27657715450.00,159
500,27657723450.00,255
501,27657731450.00,14
502,27657739450.00,255
503,27657747450.00,173
504,27657755450.00,255
505,27657763450.00,243
506,27657771450.00,0
507,27657779450.00,192
508,27657787450.00,0
509,27657795450.00,62
510,27657803450.00,254
511,27657811450.00,36
512,27657819450.00,0
513,27657827450.00,68
514,27657835450.00,1
515,27657843450.00,250
516,27657851450.00,0
517,27657859450.00,183
518,27657867450.00,255
519,27657875450.00,65
520,27657883450.00,254
521,27657891450.00,226
522,27657899450.00,1
523,27657907450.00,33
524,27657915450.00,1
525,27657923450.00,186
526,27657931450.00,255
527,27657939450.00,5
528,27657947450.00,255
529,27657955450.00,218
530,27657963450.00,0
531,27657971450.00,177
532,27657979450.00,255
533,27657987450.00,243
534,27657995450.00,255
535,27658003450.00,213
536,27658011450.00,0
537,27658019450.00,165
538,27658027450.00,1
539,27658035450.00,85
540,27658043450.00,254
541,27658051450.00,190
542,27658059450.00,255
543,27658067450.00,128
544,27658075450.00,0
545,27658083450.00,140
546,27658091450.00,1
547,27658099450.00,242
548,27658107450.00,1
549,27658115450.00,15
550,27658123450.00,254
551,27658131450.00,189
552,27658139450.00,254
553,27658147450.00,163
554,27658155450.00,254
555,27658163450.00,111
556,27658171450.00,255
557,27658179450.00,177
558,27658187450.00,1
559,27658195450.00,194
560,27658203450.00,1
561,27658211450.00,112
562,27658219450.00,255
563,27658227450.00,133
564,27658235450.00,254
565,27658243450.00,232
566,27658251450.00,128
567,27658259450.00,18
568,27658267450.00,1
569,27658275450.00,100
570,27658283450.00,254
571,27658291450.00,231
572,27658299450.00,254
573,27658307450.00,214
574,27658315450.00,1
575,27658323450.00,52
576,27658331450.00,0
577,27658339450.00,232
578,27658347450.00,0
579,27658355450.00,3
580,27658363450.00,254
581,27658371450.00,15
582,27658379450.00,254
583,27658387450.00,78
584,27658395450.00,0
585,27658403450.00,78
586,27658411450.00,255
587,27658419450.00,65
588,27658427450.00,254
589,27658435450.00,190
590,27658443450.00,0
591,27658451450.00,91
592,27658459450.00,255
593,27658467450.00,140
594,27658475450.00,1
595,27658483450.00,52
596,27658491450.00,0
597,27658499450.00,102
598,27658507450.00,255
599,27658515450.00,30
600,27658523450.00,0
601,27658531450.00,209
602,27658539450.00,1
603,27658547450.00,235
604,27658555450.00,255
605,27658563450.00,59
606,27658571450.00,255
607,27658579450.00,222
608,27658587450.00,254
609,27658595450.00,18
610,27658603450.00,1
611,27658611450.00,241
612,27658619450.00,1
613,27658627450.00,26
614,27658635450.00,255
615,27658643450.00,89
616,27658651450.00,254
617,27658659450.00,97
618,27658667450.00,0
619,27658675450.00,4
620,27658683450.00,1
621,27658691450.00,77
622,27658699450.00,254
623,27658707450.00,22
624,27658715450.00,1
